AAEXERCICIO,CD_MENSAL,NR_EMPENHO,NR_REALIZADA,NR_ACUMULADO,CD_PAI,NR_NIVEL
"DIREITOS DA CIDADANIA",2010,1,493291.69,389040.08,389040.08,"DESPESA",2
"EDUCACAO",2010,1,316449929.26,308273119.70,308273119.70,"DESPESA",2
"ENCARGOS ESPECIAIS",2010,1,966321258.54,962935397.16,962935397.16,"DESPESA",2
"ENERGIA",2010,1,682.65,282.65,282.65,"DESPESA",2
"ESSENCIAL A JUSTICA",2010,1,93620263.59,90312900.83,90312900.83,"DESPESA",2
"GESTAO AMBIENTAL",2010,1,8133066.61,6689197.03,6689197.03,"DESPESA",2
"HABITACAO",2010,1,3155307.22,3140480.72,3140480.72,"DESPESA",2
"INDUSTRIA",2010,1,12595676.71,12183515.83,12183515.83,"DESPESA",2
"JUDICIARIA",2010,1,234142537.26,212701233.95,212701233.95,"DESPESA",2
"LEGISLATIVA",2010,1,79026578.58,77156237.25,77156237.25,"DESPESA",2
"ORGANIZACAO AGRARIA",2010,1,281284.03,234039.02,234039.02,"DESPESA",2
"PREVIDENCIA SOCIAL",2010,1,392533773.47,391044921.45,391044921.45,"DESPESA",2
"RELACOES EXTERIORES",2010,1,400.00,0.00,0.00,"DESPESA",2
"SANEAMENTO",2010,1,12191.80,8181.80,8181.80,"DESPESA",2
"SAUDE",2010,1,186185087.43,83892173.02,83892173.02,"DESPESA",2
"SEGURANCA PUBLICA",2010,1,442659855.54,411623988.21,411623988.21,"DESPESA",2
"TRABALHO",2010,1,5661290.56,5616414.76,5616414.76,"DESPESA",2
"TRANSPORTE",2010,1,34474368.98,13233533.93,13233533.93,"DESPESA",2
"URBANISMO",2010,1,979119.36,871554.80,871554.80,"DESPESA",2
"ADMINISTRACAO",2010,2,119490425.74,81354777.18,154469238.60,"DESPESA",2
"AGRICULTURA",2010,2,69301488.68,66075497.32,89489774.67,"DESPESA",2
"ASSISTENCIA SOCIAL",2010,2,6585276.56,7150897.93,12430415.83,"DESPESA",2
"CIENCIA E TECNOLOGIA",2010,2,5997502.58,5468299.81,11338620.54,"DESPESA",2
"COMERCIO E SERVICOS",2010,2,9285927.37,8463158.29,13237074.94,"DESPESA",2
"COMUNICACOES",2010,2,555390.33,368229.86,626006.86,"DESPESA",2
"CULTURA",2010,2,14384353.13,14095263.02,19463470.18,"DESPESA",2
"DESPORTO E LAZER",2010,2,5047310.96,4065864.50,4905800.57,"DESPESA",2
"DIREITOS DA CIDADANIA",2010,2,987399.95,619004.59,1008044.67,"DESPESA",2
"EDUCACAO",2010,2,391474097.25,293837240.83,602110360.53,"DESPESA",2
"ENCARGOS ESPECIAIS",2010,2,958297475.32,956979002.10,1919914399.26,"DESPESA",2
"ENERGIA",2010,2,1396.30,196.30,478.95,"DESPESA",2
"ESSENCIAL A JUSTICA",2010,2,76287154.74,73845472.23,164158373.06,"DESPESA",2
"GESTAO AMBIENTAL",2010,2,11266240.48,8415727.31,15104924.34,"DESPESA",2
"HABITACAO",2010,2,5487509.27,5304075.19,8444555.91,"DESPESA",2
"INDUSTRIA",2010,2,30435008.81,28462531.56,40646047.39,"DESPESA",2
"JUDICIARIA",2010,2,170400237.96,176605522.85,389306756.80,"DESPESA",2
"LEGISLATIVA",2010,2,78825283.79,77053803.28,154210040.53,"DESPESA",2
"ORGANIZACAO AGRARIA",2010,2,1844933.55,555164.67,789203.69,"DESPESA",2
"PREVIDENCIA SOCIAL",2010,2,393048185.27,390924396.91,781969318.36,"DESPESA",2
"RELACOES EXTERIORES",2010,2,847.64,874.14,874.14,"DESPESA",2
"SANEAMENTO",2010,2,296740.85,296740.85,304922.65,"DESPESA",2
"SAUDE",2010,2,269535942.68,207856712.92,291748885.94,"DESPESA",2
"SEGURANCA PUBLICA",2010,2,468031541.77,441988573.64,853612561.85,"DESPESA",2
"TRABALHO",2010,2,1009082.24,975918.47,6592333.23,"DESPESA",2
"TRANSPORTE",2010,2,59427555.76,50406999.64,63640533.57,"DESPESA",2
"URBANISMO",2010,2,1193543.44,1188790.87,2060345.67,"DESPESA",2
"ADMINISTRACAO",2010,3,138517873.19,128874491.14,283343729.74,"DESPESA",2
"AGRICULTURA",2010,3,42668006.04,42586339.90,132076114.57,"DESPESA",2
"ASSISTENCIA SOCIAL",2010,3,10835810.72,10734174.63,23164590.46,"DESPESA",2
"CIENCIA E TECNOLOGIA",2010,3,57471686.48,56614127.46,67952748.00,"DESPESA",2
"COMERCIO E SERVICOS",2010,3,14915693.98,14038946.81,27276021.75,"DESPESA",2
"COMUNICACOES",2010,3,213012.40,377155.03,1003161.89,"DESPESA",2
"CULTURA",2010,3,8935394.05,8886140.51,28349610.69,"DESPESA",2
"DESPORTO E LAZER",2010,3,14521509.74,13959167.69,18864968.26,"DESPESA",2
"DIREITOS DA CIDADANIA",2010,3,2226799.59,2305047.42,3313092.09,"DESPESA",2
"EDUCACAO",2010,3,519589414.11,416399419.68,1018509780.21,"DESPESA",2
"ENCARGOS ESPECIAIS",2010,3,1119485694.16,1120604774.06,3040519173.32,"DESPESA",2
"ENERGIA",2010,3,1154.64,1394.84,1873.79,"DESPESA",2
"ESSENCIAL A JUSTICA",2010,3,75946183.15,74839192.59,238997565.65,"DESPESA",2
"GESTAO AMBIENTAL",2010,3,16915469.33,15773359.30,30878283.64,"DESPESA",2
"HABITACAO",2010,3,9739172.88,9534379.73,17978935.64,"DESPESA",2
"INDUSTRIA",2010,3,40161359.45,39578262.53,80224309.92,"DESPESA",2
"JUDICIARIA",2010,3,190792554.21,187985907.67,577292664.47,"DESPESA",2
"LEGISLATIVA",2010,3,78221489.46,78431152.76,232641193.29,"DESPESA",2
"ORGANIZACAO AGRARIA",2010,3,975385.60,1090211.71,1879415.40,"DESPESA",2
"PREVIDENCIA SOCIAL",2010,3,394815764.94,396031271.23,1178000589.59,"DESPESA",2
"RELACOES EXTERIORES",2010,3,0.00,0.00,874.14,"DESPESA",2
"SANEAMENTO",2010,3,366527.99,339743.09,644665.74,"DESPESA",2
"SAUDE",2010,3,431100841.66,345763505.82,637512391.76,"DESPESA",2
"SEGURANCA PUBLICA",2010,3,457506735.10,460017556.92,1313630118.77,"DESPESA",2
"TRABALHO",2010,3,23256997.30,11741244.04,18333577.27,"DESPESA",2
"TRANSPORTE",2010,3,164910285.39,87582088.22,151222621.79,"DESPESA",2
"URBANISMO",2010,3,3295443.51,3219262.93,5279608.60,"DESPESA",2
"ADMINISTRACAO",2010,4,121360961.44,100618979.95,383962709.69,"DESPESA",2
"AGRICULTURA",2010,4,30339401.46,28674124.34,160750238.91,"DESPESA",2
"ASSISTENCIA SOCIAL",2010,4,18611222.86,18347761.06,41512351.52,"DESPESA",2
"CIENCIA E TECNOLOGIA",2010,4,28201670.60,28479067.23,96431815.23,"DESPESA",2
"COMERCIO E SERVICOS",2010,4,28385144.15,26963509.25,54239531.00,"DESPESA",2
"COMUNICACOES",2010,4,250084.45,303288.49,1306450.38,"DESPESA",2
"CULTURA",2010,4,6299388.36,6449925.42,34799536.11,"DESPESA",2
"DESPORTO E LAZER",2010,4,13098881.88,10770124.28,29635092.54,"DESPESA",2
"DIREITOS DA CIDADANIA",2010,4,2020568.50,1827251.99,5140344.08,"DESPESA",2
"EDUCACAO",2010,4,365748910.76,350239253.18,1368749033.39,"DESPESA",2
"ENCARGOS ESPECIAIS",2010,4,1038416927.63,1038858857.98,4079378031.30,"DESPESA",2
"ENERGIA",2010,4,72.00,589.64,2463.43,"DESPESA",2
"ESSENCIAL A JUSTICA",2010,4,76403285.97,76175065.54,315172631.19,"DESPESA",2
"GESTAO AMBIENTAL",2010,4,24476843.04,17177856.87,48056140.51,"DESPESA",2
"HABITACAO",2010,4,7425778.80,7307764.62,25286700.26,"DESPESA",2
"INDUSTRIA",2010,4,43249150.01,41229322.77,121453632.69,"DESPESA",2
"JUDICIARIA",2010,4,204616829.98,198992969.98,776285634.45,"DESPESA",2
"LEGISLATIVA",2010,4,99610652.47,98604152.29,331245345.58,"DESPESA",2
"ORGANIZACAO AGRARIA",2010,4,3390774.92,1996261.86,3875677.26,"DESPESA",2
"PREVIDENCIA SOCIAL",2010,4,388629415.74,387592241.75,1565592831.34,"DESPESA",2
"RELACOES EXTERIORES",2010,4,69977.15,18823.28,19697.42,"DESPESA",2
"SANEAMENTO",2010,4,350661.41,323285.18,967950.92,"DESPESA",2
"SAUDE",2010,4,251876735.51,316974265.23,954486656.99,"DESPESA",2
"SEGURANCA PUBLICA",2010,4,492737739.17,483582302.65,1797212421.42,"DESPESA",2
"TRABALHO",2010,4,2158320.71,2497786.52,20831363.79,"DESPESA",2
"TRANSPORTE",2010,4,112870782.87,83165023.45,234387645.24,"DESPESA",2
"URBANISMO",2010,4,4608161.60,1614037.38,6893645.98,"DESPESA",2
"ADMINISTRACAO",2010,5,176642041.21,156189998.69,540152708.38,"DESPESA",2
"AGRICULTURA",2010,5,38852083.43,36428126.41,197178365.32,"DESPESA",2
"ASSISTENCIA SOCIAL",2010,5,19893694.04,19320880.19,60833231.71,"DESPESA",2
"CIENCIA E TECNOLOGIA",2010,5,28976346.41,25867161.48,122298976.71,"DESPESA",2
"COMERCIO E SERVICOS",2010,5,16516657.14,14443699.14,68683230.14,"DESPESA",2
"COMUNICACOES",2010,5,798671.54,517154.34,1823604.72,"DESPESA",2
"CULTURA",2010,5,15708665.92,14595363.13,49394899.24,"DESPESA",2
"DESPORTO E LAZER",2010,5,11942205.74,12803194.41,42438286.95,"DESPESA",2
"DIREITOS DA CIDADANIA",2010,5,1984372.07,1239194.68,6379538.76,"DESPESA",2
"EDUCACAO",2010,5,415824695.21,382171285.08,1750920318.47,"DESPESA",2
"ENCARGOS ESPECIAIS",2010,5,843060386.86,842002141.80,4921380173.10,"DESPESA",2
"ENERGIA",2010,5,0.00,482.32,2945.75,"DESPESA",2
"ESSENCIAL A JUSTICA",2010,5,86212547.87,82734779.04,397907410.23,"DESPESA",2
"GESTAO AMBIENTAL",2010,5,23277218.83,21929727.05,69985867.56,"DESPESA",2
"HABITACAO",2010,5,7187791.43,7474394.82,32761095.08,"DESPESA",2
"INDUSTRIA",2010,5,102245161.05,100467213.55,221920846.24,"DESPESA",2
"JUDICIARIA",2010,5,224740028.35,221562998.88,997848633.33,"DESPESA",2
"LEGISLATIVA",2010,5,85069670.09,84947317.28,416192662.86,"DESPESA",2
"ORGANIZACAO AGRARIA",2010,5,668041.00,892761.49,4768438.75,"DESPESA",2
"PREVIDENCIA SOCIAL",2010,5,430335420.20,431517588.97,1997110420.31,"DESPESA",2
"RELACOES EXTERIORES",2010,5,11059.34,50540.74,70238.16,"DESPESA",2
"SANEAMENTO",2010,5,109753.24,131268.66,1099219.58,"DESPESA",2
"SAUDE",2010,5,412978243.03,392558804.89,1347045461.88,"DESPESA",2
"SEGURANCA PUBLICA",2010,5,523613515.92,525018930.15,2322231351.57,"DESPESA",2
"TRABALHO",2010,5,2236393.09,3521323.43,24352687.22,"DESPESA",2
"TRANSPORTE",2010,5,250987280.46,135128014.84,369515660.08,"DESPESA",2
"URBANISMO",2010,5,5657273.89,4710334.16,11603980.14,"DESPESA",2
"ADMINISTRACAO",2010,6,235444480.93,232542704.29,772695412.67,"DESPESA",2
"AGRICULTURA",2010,6,36794723.69,38183048.29,235361413.61,"DESPESA",2
"ASSISTENCIA SOCIAL",2010,6,40415255.11,39594350.41,100427582.12,"DESPESA",2
"CIENCIA E TECNOLOGIA",2010,6,23965230.05,24877873.01,147176849.72,"DESPESA",2
"COMERCIO E SERVICOS",2010,6,12098140.80,12827006.20,81510236.34,"DESPESA",2
"COMUNICACOES",2010,6,216904.36,433643.42,2257248.14,"DESPESA",2
"CULTURA",2010,6,11887628.04,11945310.68,61340209.92,"DESPESA",2
"DESPORTO E LAZER",2010,6,20340471.73,19543746.46,61982033.41,"DESPESA",2
"DIREITOS DA CIDADANIA",2010,6,4000713.75,4025151.92,10404690.68,"DESPESA",2
"EDUCACAO",2010,6,428101273.66,458018181.37,2208938499.84,"DESPESA",2
"ENCARGOS ESPECIAIS",2010,6,893790673.35,894795579.88,5816175752.98,"DESPESA",2
"ENERGIA",2010,6,1642.16,0.00,2945.75,"DESPESA",2
"ESSENCIAL A JUSTICA",2010,6,87349076.98,86769438.89,484676849.12,"DESPESA",2
"GESTAO AMBIENTAL",2010,6,35348397.38,36425310.41,106411177.97,"DESPESA",2
"HABITACAO",2010,6,8346698.43,8274274.32,41035369.40,"DESPESA",2
"INDUSTRIA",2010,6,30789316.11,30436297.79,252357144.03,"DESPESA",2
"JUDICIARIA",2010,6,216585850.78,216522168.72,1214370802.05,"DESPESA",2
"LEGISLATIVA",2010,6,94891298.39,93548281.22,509740944.08,"DESPESA",2
"ORGANIZACAO AGRARIA",2010,6,2016506.80,1688382.86,6456821.61,"DESPESA",2
"PREVIDENCIA SOCIAL",2010,6,437952981.35,436837330.05,2433947750.36,"DESPESA",2
"RELACOES EXTERIORES",2010,6,32627.44,39822.56,110060.72,"DESPESA",2
"SANEAMENTO",2010,6,697559.02,713259.53,1812479.11,"DESPESA",2
"SAUDE",2010,6,603602385.64,556371537.38,1903416999.26,"DESPESA",2
"SEGURANCA PUBLICA",2010,6,529992159.32,522937561.98,2845168913.55,"DESPESA",2
"TRABALHO",2010,6,2075636.42,10743617.65,35096304.87,"DESPESA",2
"TRANSPORTE",2010,6,83938449.05,157275727.59,526791387.67,"DESPESA",2
"URBANISMO",2010,6,374213174.65,324258310.28,335862290.42,"DESPESA",2
"ADMINISTRACAO",2010,7,157697607.02,144811668.71,917507081.38,"DESPESA",2
"AGRICULTURA",2010,7,39259077.42,40694213.12,276055626.73,"DESPESA",2
"ASSISTENCIA SOCIAL",2010,7,8663618.22,9881401.83,110308983.95,"DESPESA",2
"CIENCIA E TECNOLOGIA",2010,7,13763706.25,15008487.06,162185336.78,"DESPESA",2
"COMERCIO E SERVICOS",2010,7,13483528.09,14653707.30,96163943.64,"DESPESA",2
"COMUNICACOES",2010,7,207364.20,231340.15,2488588.29,"DESPESA",2
"CULTURA",2010,7,9130220.06,9107650.58,70447860.50,"DESPESA",2
"DESPORTO E LAZER",2010,7,11057362.47,12816663.23,74798696.64,"DESPESA",2
"DIREITOS DA CIDADANIA",2010,7,893483.72,1706243.79,12110934.47,"DESPESA",2
"EDUCACAO",2010,7,437901481.68,447440617.93,2656379117.77,"DESPESA",2
"ENCARGOS ESPECIAIS",2010,7,929161468.39,929191451.08,6745367204.06,"DESPESA",2
"ENERGIA",2010,7,17710339.36,17710339.36,17713285.11,"DESPESA",2
"ESSENCIAL A JUSTICA",2010,7,100583517.65,100718987.45,585395836.57,"DESPESA",2
"GESTAO AMBIENTAL",2010,7,18815816.89,21744341.39,128155519.36,"DESPESA",2
"HABITACAO",2010,7,5465611.45,5477920.40,46513289.80,"DESPESA",2
"INDUSTRIA",2010,7,23699270.48,25454066.62,277811210.65,"DESPESA",2
"JUDICIARIA",2010,7,263939780.87,261505747.46,1475876549.51,"DESPESA",2
"LEGISLATIVA",2010,7,101234394.18,101328658.16,611069602.24,"DESPESA",2
"ORGANIZACAO AGRARIA",2010,7,8723933.78,2084631.61,8541453.22,"DESPESA",2
"PREVIDENCIA SOCIAL",2010,7,443591087.43,443981786.74,2877929537.10,"DESPESA",2
"RELACOES EXTERIORES",2010,7,558812.84,7540.56,117601.28,"DESPESA",2
"SANEAMENTO",2010,7,181386.69,186718.06,1999197.17,"DESPESA",2
"SAUDE",2010,7,373254620.31,373713654.12,2277130653.38,"DESPESA",2
"SEGURANCA PUBLICA",2010,7,517142488.29,505866657.31,3351035570.86,"DESPESA",2
"TRABALHO",2010,7,1817657.38,1755667.33,36851972.20,"DESPESA",2
"TRANSPORTE",2010,7,143169269.09,187115689.48,713907077.15,"DESPESA",2
"URBANISMO",2010,7,184394148.02,63732329.59,399594620.01,"DESPESA",2
"ADMINISTRACAO",2010,8,150593311.83,141969086.93,1059476168.31,"DESPESA",2
"AGRICULTURA",2010,8,34487865.94,35824694.99,311880321.72,"DESPESA",2
"ASSISTENCIA SOCIAL",2010,8,10352937.58,10113309.60,120422293.55,"DESPESA",2
"CIENCIA E TECNOLOGIA",2010,8,23442698.15,24264811.83,186450148.61,"DESPESA",2
"COMERCIO E SERVICOS",2010,8,17760092.27,18451282.50,114615226.14,"DESPESA",2
"COMUNICACOES",2010,8,335700.14,351461.43,2840049.72,"DESPESA",2
"CULTURA",2010,8,13403947.35,14362144.83,84810005.33,"DESPESA",2
"DESPORTO E LAZER",2010,8,15633186.89,11945301.43,86743998.07,"DESPESA",2
"DIREITOS DA CIDADANIA",2010,8,1683563.69,1808012.21,13918946.68,"DESPESA",2
"EDUCACAO",2010,8,423750677.24,442500646.36,3098879764.13,"DESPESA",2
"ENCARGOS ESPECIAIS",2010,8,1143365913.68,1143412186.04,7888779390.10,"DESPESA",2
"ENERGIA",2010,8,0.00,314.63,17713599.74,"DESPESA",2
"ESSENCIAL A JUSTICA",2010,8,83462431.80,80860102.88,666255939.45,"DESPESA",2
"GESTAO AMBIENTAL",2010,8,17893792.22,20050282.49,148205801.85,"DESPESA",2
"HABITACAO",2010,8,15594235.15,7374325.46,53887615.26,"DESPESA",2
"INDUSTRIA",2010,8,16078049.48,11042847.98,288854058.63,"DESPESA",2
"JUDICIARIA",2010,8,212721791.29,211347851.89,1687224401.40,"DESPESA",2
"LEGISLATIVA",2010,8,87023840.77,86502020.13,697571622.37,"DESPESA",2
"ORGANIZACAO AGRARIA",2010,8,365585.30,682792.25,9224245.47,"DESPESA",2
"PREVIDENCIA SOCIAL",2010,8,464333055.29,462549573.68,3340479110.78,"DESPESA",2
"RELACOES EXTERIORES",2010,8,44254.37,160837.96,278439.24,"DESPESA",2
"SANEAMENTO",2010,8,332325.98,330649.60,2329846.77,"DESPESA",2
"SAUDE",2010,8,372469404.40,396964030.80,2674094684.18,"DESPESA",2
"SEGURANCA PUBLICA",2010,8,686140899.81,693892519.00,4044928089.86,"DESPESA",2
"TRABALHO",2010,8,11332870.11,8616957.07,45468929.27,"DESPESA",2
"TRANSPORTE",2010,8,148317480.82,171324537.46,885231614.61,"DESPESA",2
"URBANISMO",2010,8,7950418.88,8487492.27,408082112.28,"DESPESA",2
"ADMINISTRACAO",2010,9,140607387.81,142888269.40,1202364437.71,"DESPESA",2
"AGRICULTURA",2010,9,47070736.67,45670381.00,357550702.72,"DESPESA",2
"ASSISTENCIA SOCIAL",2010,9,9365619.72,9368948.00,129791241.55,"DESPESA",2
"CIENCIA E TECNOLOGIA",2010,9,33166187.17,33939108.74,220389257.35,"DESPESA",2
"COMERCIO E SERVICOS",2010,9,15926986.42,16379530.15,130994756.29,"DESPESA",2
"COMUNICACOES",2010,9,369595.21,378959.83,3219009.55,"DESPESA",2
"CULTURA",2010,9,6766270.39,6166447.67,90976453.00,"DESPESA",2
"DESPORTO E LAZER",2010,9,6121639.97,7422115.04,94166113.11,"DESPESA",2
"DIREITOS DA CIDADANIA",2010,9,1757904.59,1641434.04,15560380.72,"DESPESA",2
"EDUCACAO",2010,9,406444847.64,421041091.43,3519920855.56,"DESPESA",2
"ENCARGOS ESPECIAIS",2010,9,943426858.03,942054535.91,8830833926.01,"DESPESA",2
"ENERGIA",2010,9,786.00,70.00,17713669.74,"DESPESA",2
"ESSENCIAL A JUSTICA",2010,9,94348988.81,92769346.00,759025285.45,"DESPESA",2
"GESTAO AMBIENTAL",2010,9,27408987.17,24471541.40,172677343.25,"DESPESA",2
"HABITACAO",2010,9,13297804.91,13943615.33,67831230.59,"DESPESA",2
"INDUSTRIA",2010,9,33463730.97,34914964.72,323769023.35,"DESPESA",2
"JUDICIARIA",2010,9,208560891.85,199959464.40,1887183865.80,"DESPESA",2
"LEGISLATIVA",2010,9,86438327.34,86231494.54,783803116.91,"DESPESA",2
"ORGANIZACAO AGRARIA",2010,9,1332147.95,1044582.49,10268827.96,"DESPESA",2
"PREVIDENCIA SOCIAL",2010,9,382479382.09,383124825.61,3723603936.39,"DESPESA",2
"RELACOES EXTERIORES",2010,9,5600.25,9069.91,287509.15,"DESPESA",2
"SANEAMENTO",2010,9,66191.97,55652.40,2385499.17,"DESPESA",2
"SAUDE",2010,9,335613800.32,354749802.54,3028844486.72,"DESPESA",2
"SEGURANCA PUBLICA",2010,9,505834955.80,496877117.00,4541805206.86,"DESPESA",2
"TRABALHO",2010,9,464433.00,401524.68,45870453.95,"DESPESA",2
"TRANSPORTE",2010,9,173708080.59,141713311.69,1026944926.30,"DESPESA",2
"URBANISMO",2010,9,7051587.08,8050730.92,416132843.20,"DESPESA",2
"ADMINISTRACAO",2010,10,110312391.82,132456921.72,1334821359.43,"DESPESA",2
"AGRICULTURA",2010,10,27532486.01,28121103.16,385671805.88,"DESPESA",2
"ASSISTENCIA SOCIAL",2010,10,10031762.40,9547161.36,139338402.91,"DESPESA",2
"CIENCIA E TECNOLOGIA",2010,10,9937570.68,9260809.37,229650066.72,"DESPESA",2
"COMERCIO E SERVICOS",2010,10,4491510.14,3591869.59,134586625.88,"DESPESA",2
"COMUNICACOES",2010,10,408222.93,439748.92,3658758.47,"DESPESA",2
"CULTURA",2010,10,7873971.66,8207398.58,99183851.58,"DESPESA",2
"DESPORTO E LAZER",2010,10,1376235.20,2741787.17,96907900.28,"DESPESA",2
"DIREITOS DA CIDADANIA",2010,10,636161.24,921311.55,16481692.27,"DESPESA",2
"EDUCACAO",2010,10,475945208.67,525105772.59,4045026628.15,"DESPESA",2
"ENCARGOS ESPECIAIS",2010,10,725700036.22,723025946.42,9553859872.43,"DESPESA",2
"ENERGIA",2010,10,-80.00,591.06,17714260.80,"DESPESA",2
"ESSENCIAL A JUSTICA",2010,10,110093692.97,111924854.79,870950140.24,"DESPESA",2
"GESTAO AMBIENTAL",2010,10,13162436.74,16948564.38,189625907.63,"DESPESA",2
"HABITACAO",2010,10,16289947.58,15842922.43,83674153.02,"DESPESA",2
"INDUSTRIA",2010,10,5983303.17,6723038.35,330492061.70,"DESPESA",2
"JUDICIARIA",2010,10,191185634.12,201950110.41,2089133976.21,"DESPESA",2
"LEGISLATIVA",2010,10,86959840.77,85738014.03,869541130.94,"DESPESA",2
"ORGANIZACAO AGRARIA",2010,10,458197.12,1177799.61,11446627.57,"DESPESA",2
"PREVIDENCIA SOCIAL",2010,10,540430327.36,540153780.79,4263757717.18,"DESPESA",2
"RELACOES EXTERIORES",2010,10,-1941.41,403851.97,691361.12,"DESPESA",2
"SANEAMENTO",2010,10,13272.44,25210.90,2410710.07,"DESPESA",2
"SAUDE",2010,10,253952718.12,299801652.01,3328646138.73,"DESPESA",2
"SEGURANCA PUBLICA",2010,10,528051074.62,532748914.86,5074554121.72,"DESPESA",2
"TRABALHO",2010,10,590213.04,3902349.26,49772803.21,"DESPESA",2
"TRANSPORTE",2010,10,51299826.68,94769754.25,1121714680.55,"DESPESA",2
"URBANISMO",2010,10,2427077.68,3506757.61,419639600.81,"DESPESA",2
"ADMINISTRACAO",2010,11,127152094.85,106081882.97,1440903242.40,"DESPESA",2
"AGRICULTURA",2010,11,43710079.85,42823546.33,428495352.21,"DESPESA",2
"ASSISTENCIA SOCIAL",2010,11,26967230.01,25695149.94,165033552.85,"DESPESA",2
"CIENCIA E TECNOLOGIA",2010,11,17105981.79,16613044.74,246263111.46,"DESPESA",2
"COMERCIO E SERVICOS",2010,11,22453077.26,18009646.52,152596272.40,"DESPESA",2
"COMUNICACOES",2010,11,705599.14,593752.19,4252510.66,"DESPESA",2
"CULTURA",2010,11,17425478.57,14105437.60,113289289.18,"DESPESA",2
"DESPORTO E LAZER",2010,11,10131025.45,7487240.72,104395141.00,"DESPESA",2
"DIREITOS DA CIDADANIA",2010,11,3006998.35,2624641.71,19106333.98,"DESPESA",2
"EDUCACAO",2010,11,698212872.85,702511999.33,4747538627.48,"DESPESA",2
"ENCARGOS ESPECIAIS",2010,11,1175973896.98,1183108727.28,10736968599.71,"DESPESA",2
"ENERGIA",2010,11,70.00,0.00,17714260.80,"DESPESA",2
"ESSENCIAL A JUSTICA",2010,11,97998937.98,93901193.46,964851333.70,"DESPESA",2
"GESTAO AMBIENTAL",2010,11,43823858.85,30642359.70,220268267.33,"DESPESA",2
"HABITACAO",2010,11,20355638.18,20097829.00,103771982.02,"DESPESA",2
"INDUSTRIA",2010,11,16276837.25,18420449.72,348912511.42,"DESPESA",2
"JUDICIARIA",2010,11,210267953.41,200009829.47,2289143805.68,"DESPESA",2
"LEGISLATIVA",2010,11,108037579.67,105315603.91,974856734.85,"DESPESA",2
"ORGANIZACAO AGRARIA",2010,11,1470118.33,1661259.98,13107887.55,"DESPESA",2
"PREVIDENCIA SOCIAL",2010,11,823389790.57,809162569.15,5072920286.33,"DESPESA",2
"RELACOES EXTERIORES",2010,11,651.06,902.75,692263.87,"DESPESA",2
"SANEAMENTO",2010,11,88619.43,79411.71,2490121.78,"DESPESA",2
"SAUDE",2010,11,474252027.40,400211475.18,3728857613.91,"DESPESA",2
"SEGURANCA PUBLICA",2010,11,907737821.53,892372555.86,5966926677.58,"DESPESA",2
"TRABALHO",2010,11,1840775.48,2104528.68,51877331.89,"DESPESA",2
"TRANSPORTE",2010,11,233470485.20,181416355.69,1303131036.24,"DESPESA",2
"URBANISMO",2010,11,7839661.36,6148741.43,425788342.24,"DESPESA",2
"ADMINISTRACAO",2010,12,363748248.32,497691813.91,1938595056.31,"DESPESA",2
"AGRICULTURA",2010,12,47666118.51,53551043.04,482046395.25,"DESPESA",2
"ASSISTENCIA SOCIAL",2010,12,10979352.34,13777536.46,178811089.31,"DESPESA",2
"CIENCIA E TECNOLOGIA",2010,12,29086701.33,33651590.58,279914702.04,"DESPESA",2
"COMERCIO E SERVICOS",2010,12,24487095.21,32743034.10,185339306.50,"DESPESA",2
"COMUNICACOES",2010,12,450744.58,570066.67,4822577.33,"DESPESA",2
"CULTURA",2010,12,13347150.06,17885836.22,131175125.40,"DESPESA",2
"DESPORTO E LAZER",2010,12,14532691.46,20648695.99,125043836.99,"DESPESA",2
"DIREITOS DA CIDADANIA",2010,12,2504003.98,3088927.14,22195261.12,"DESPESA",2
"EDUCACAO",2010,12,455362472.99,587267253.84,5334805881.32,"DESPESA",2
"ENCARGOS ESPECIAIS",2010,12,1158706141.04,1158738130.49,11895706730.20,"DESPESA",2
"ENERGIA",2010,12,-1802.31,0.00,17714260.80,"DESPESA",2
"ESSENCIAL A JUSTICA",2010,12,126529854.85,143984602.66,1108835936.36,"DESPESA",2
"GESTAO AMBIENTAL",2010,12,19262981.12,39516841.33,259785108.66,"DESPESA",2
"HABITACAO",2010,12,23059632.38,31633145.66,135405127.68,"DESPESA",2
"INDUSTRIA",2010,12,272243749.58,278308101.65,627220613.07,"DESPESA",2
"JUDICIARIA",2010,12,446651269.47,485461553.87,2774605359.55,"DESPESA",2
"LEGISLATIVA",2010,12,194533560.50,205015781.16,1179872516.01,"DESPESA",2
"ORGANIZACAO AGRARIA",2010,12,777599.49,9196620.32,22304507.87,"DESPESA",2
"PREVIDENCIA SOCIAL",2010,12,549310527.42,567929424.80,5640849711.13,"DESPESA",2
"RELACOES EXTERIORES",2010,12,-98.36,29926.45,722190.32,"DESPESA",2
"SANEAMENTO",2010,12,120899.12,146008.16,2636129.94,"DESPESA",2
"SAUDE",2010,12,596532321.70,832496514.29,4561354128.20,"DESPESA",2
"SEGURANCA PUBLICA",2010,12,682285135.77,774807245.06,6741733922.64,"DESPESA",2
"TRABALHO",2010,12,2234744.07,2801081.51,54678413.40,"DESPESA",2
"TRANSPORTE",2010,12,277154425.53,430597254.18,1733728290.42,"DESPESA",2
"URBANISMO",2010,12,11662312.79,185483580.02,611271922.26,"DESPESA",2
"ADMINISTRACAO",2011,1,106380777.71,77283095.03,77283095.03,"DESPESA",2
